year,spawn,recruit25,recruit50,recruit75
1976,116989,127903.1887,134724.3942,137496.3216
1977,216631,97652.74011,102923.1686,107616.739
1978,146884,83714.56436,88398.78868,92490.55311
1979,128879,77548.37758,80894.84619,83093.72599
1980,94934.70845,101861.059,106015.5465,108424.6775
1981,61774,115025.0897,119710.3982,124395.7068
1982,75501,148451.75,151607.0876,152525.4558
1983,63645,66788.84953,69898.29978,71474.8903
1984,58188,88539.29844,93382.92887,96349.51966
1985,107586,161113.313,170082.1145,178510.8017
1986,71543,240259.5121,252681.3363,262627.1118
1987,72720,191852.293,201019.4592,208353.3345
1988,46166.04746,125968.6257,131089.1245,134611.5453
1989,83680.44136,123327.5482,127588.6823,130878.4753
1990,75246.47414,80574.47835,83501.13021,85984.40583
1991,86602.84262,192531.5195,199176.2844,204609.3149
1992,82589.89784,73046.99646,75896.67523,78347.60486
1993,64819.99595,79337.69467,82874.93035,85451.8317
1994,77409.4045,148129.467,158112.0314,165538.5603
1995,45470.86383,98211.96798,105870.1625,112987.5158
1996,62569.46884,110350.7819,118011.9478,125028.8564
1997,39902.26624,109546.2327,114536.4407,119206.6007
1998,50059.49649,193222.5121,198691.972,203296.7912
1999,62465.32756,94260.95893,98393.33033,102261.7714
2000,37823.70854,73963.49898,77980.95281,81801.69168
2001,61924.99884,192542.1759,204466.4409,213091.4497
2002,69747.42186,176315.9829,191945.2501,205642.882
2003,84858.81882,53226.89346,57825.01819,62065.67408
2004,40679.43519,101388.2242,105796.6993,109199.6884
2005,74065.23373,213112.8389,221481.9743,226218.9894
2006,85133.89312,92476.30689,96245.66812,99519.10676
2007,59938.59881,179043.8809,187541.3356,193976.0397
2008,29647.66008,138268.9855,143708.5212,148166.0049
2009,87454.5923,258396.7528,268423.5214,277584.6909
2010,57196.95494,117167.824,121189.895,124259.4503
2011,91371.90676,141149.912,147916.4448,152634.4626
2012,63646.52933,95643.94243,100296.2563,104865.9125
2013,127609.4156,85916.26484,89743.23021,93444.35241
2014,107518.048,76301.55432,77725.76693,79086.05909
2015,97221.45089,75996.89429,77096.78811,78167.54059
2016,53865.98727,160739.2549,162232.4717,163715.531
2017,89808.84438,113773.2783,114826.1642,115824.9159
2018,27639.80677,167049.7972,168265.3769,169467.7001
